School_district,District_description,County_code,County,Grade 3 ELA,Grade 3 Math,Grade 4 ELA,Grade 4 Math,Grade 5 ELA,Grade 5 Math,Grade 6 ELA,Grade 6 Math,Grade 7 ELA,Grade 7 Math,Grade 8 ELA,Grade 8 Math,NYC_flag,BOCES_Name,enrollment_count,Graduation_count,Graduation_Rate,Regents_Diploma_count,Regents_Diploma_Rate,Advanced_Regents_Diploma_count,Advanced_Regents_Diploma_rate,GED_count,GED_rate,Dropout_count,Dropout_rate,Teacher_Pay_Fifth_Percentile,Median_Teachers_Pay,Teachers_Pay_Ninety_Fifth_Percentile
ADDISON CENTRAL SCHOOL DISTRICT,Rural High Needs,57,STEUBEN,585,589,587,591,593,600,590,595,594,591,599,605,0,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY,101,85,0.84,50,0.5,21,0.21,0,0,11,0.11,53094,66273,81073
ADIRONDACK CENTRAL SCHOOL DISTRICT,Rural High Needs,41,ONEIDA,593,592,594,594,594,588,597,592,598,600,599,597,0,JEFFERSON-LEWIS-ONEIDA-HAMILTON-HERKIMER,98,86,0.88,58,0.59,25,0.26,0,0,3,0.03,39651,61912,80380
AFTON CENTRAL SCHOOL DISTRICT,Rural High Needs,8,CHENANGO,596,598,592,592,599,596,595,598,587,587,591,586,0,DELAWARE-CHENANGO-MADISON-OTSEGO,40,33,0.83,23,0.58,7,0.18,0,0,6,0.15,38259,53135,74621
AKRON CENTRAL SCHOOL DISTRICT,Average Needs,14,ERIE,603,605,595,597,612,612,603,604,603,612,598,607,0,ERIE 1,99,95,0.96,20,0.2,68,0.69,0,0,3,0.03,42750,71350,95040
ALBANY CITY SCHOOL DISTRICT,Urban-Suburban High Needs,1,ALBANY,589,588,587,587,586,586,584,585,581,584,584,583,0,ALBANY-SCHENECTADY-SCHOHARIE(CAPITAL REGION),704,476,0.68,313,0.44,113,0.16,7,0.01,115,0.16,52140,71407,100285
ALBION CENTRAL SCHOOL DISTRICT,Rural High Needs,45,ORLEANS,595,596,593,593,591,598,589,600,593,603,590,606,0,ORLEANS-NIAGARA,163,138,0.85,67,0.41,61,0.37,0,0,15,0.09,46010,67187,95153
ALDEN CENTRAL SCHOOL DISTRICT,Average Needs,14,ERIE,602,603,600,607,606,604,604,600,600,599,603,603,0,ERIE 1,134,123,0.92,66,0.49,53,0.4,0,0,9,0.07,36874,77959,97527
ALEXANDER CENTRAL SCHOOL DISTRICT,Average Needs,18,GENESEE,597,594,599,600,600,601,593,605,601,601,597,597,0,LIVINGSTON-GENESEE-STEUBEN-WYOMING(GENESEE VALLEY),67,58,0.87,40,0.6,18,0.27,1,0.01,4,0.06,41165,50465,76465
ALEXANDRIA CENTRAL SCHOOL DISTRICT,Average Needs,22,JEFFERSON,598,596,595,596,592,592,597,598,591,601,598,597,0,JEFFERSON-LEWIS-ONEIDA-HAMILTON-HERKIMER,51,49,0.96,31,0.61,17,0.33,0,0,0,0,41000,53950,79636
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,Average Needs,2,ALLEGANY,603,609,599,607,605,604,596,599,601,593,602,602,0,SCHUYLER-STEUBEN-CHEMUNG-TIOGA-ALLEGANY,48,44,0.92,16,0.33,26,0.54,0,0,1,0.02,41306,57503,78265
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,Average Needs,4,CATTARAUGUS,602,609,598,604,603,609,597,600,598,603,599,599,0,CATTARAUGUS-ALLEGANY-ERIE-WYOMING,85,79,0.93,42,0.49,33,0.39,2,0.02,2,0.02,39312,57927,79572
ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT,Rural High Needs,46,OSWEGO,595,598,586,596,586,588,594,595,594,604,595,591,0,OSWEGO,108,86,0.8,49,0.45,24,0.22,0,0,17,0.16,59365,68584,83086
AMHERST CENTRAL SCHOOL DISTRICT,Average Needs,14,ERIE,605,606,602,605,609,604,604,608,608,612,603,613,0,ERIE 1,221,200,0.9,74,0.33,117,0.53,0,0,7,0.03,41254,69462,93722
AMITYVILLE UNION FREE SCHOOL DISTRICT,Urban-Suburban High Needs,58,SUFFOLK,599,595,591,586,586,586,587,594,582,579,582,-,0,WESTERN SUFFOLK,241,187,0.78,127,0.53,30,0.12,0,0,16,0.07,59549,94281,107577
AMSTERDAM CITY SCHOOL DISTRICT,Rural High Needs,27,MONTGOMERY,591,590,588,587,586,586,581,581,583,585,584,578,0,HAMILTON-FULTON-MONTGOMERY,318,217,0.68,148,0.47,45,0.14,0,0,39,0.12,46583,63109,97667
